sku,title,link,price,image
206798ZK,#KE Gezouten Mais Glutenvrij 130g,http://www.jumbo.com/#ke-gezouten-mais-glutenvrij-130g/206798ZK/,0.99,https://static-images.jumbo.com/product_images/290920180635_206798ZK-1_360x360.png
206776ZK,#KE Mais met Kaassmaak 130g,http://www.jumbo.com/#ke-mais-met-kaassmaak-130g/206776ZK/,0.99,https://static-images.jumbo.com/product_images/250820180522_206776ZK-1_360x360.png
206775ZK,#KE Tex-Mex Original 130g,http://www.jumbo.com/#ke-tex-mex-original-130g/206775ZK/,0.99,https://static-images.jumbo.com/product_images/120920180909_206775ZK-1_360x360.png
217380STK,&C,http://www.jumbo.com/c/217380STK/,2.99,https://static-images.jumbo.com/product_images/186044STK-1_360x360.png
189381DS,&samhoud SPRICE Komkommer-Limoen 4 x 50ml,http://www.jumbo.com/samhoud-sprice-komkommer-limoen-4-x-50ml/189381DS/,2.49,https://static-images.jumbo.com/product_images/189381DS-1_360x360.png
128692ZK,11er Elfer Spek Rösti 350g,http://www.jumbo.com/11er-elfer-spek-rosti-350g/128692ZK/,2.29,https://static-images.jumbo.com/product_images/061120180400_128692ZK-1_360x360.png
177434ZK,11er Knapperige Rösti Nature 500g,http://www.jumbo.com/11er-knapperige-rosti-nature-500g/177434ZK/,2.05,https://static-images.jumbo.com/product_images/031120180757_177434ZK-1_360x360.png
177435ZK,11er Mini Rösti Nature 450g,http://www.jumbo.com/11er-mini-rosti-nature-450g/177435ZK/,3.05,https://static-images.jumbo.com/product_images/031120180758_177435ZK-1_360x360.png
170936FLS,1906 Vodka 50cl,http://www.jumbo.com/1906-vodka-50cl/170936FLS/,7.99,https://static-images.jumbo.com/product_images/170936FLS-1_360x360.png
191587STK,2-Laags Servetten 20 Stuks,http://www.jumbo.com/2-laags-servetten-20-stuks/191587STK/,2.49,https://static-images.jumbo.com/product_images/191587STK-1_360x360.png
164250STK,3D Voetbal Bekers 250 ml 4 Stuks,http://www.jumbo.com/3d-voetbal-bekers-250-ml-4-stuks/164250STK/,2.49,https://static-images.jumbo.com/product_images/164250STK-1_360x360.png
145099BLK,7 Energy Drink Regular 250ml,http://www.jumbo.com/7-energy-drink-regular-250ml/145099BLK/,0.45,https://static-images.jumbo.com/product_images/145099BLK-1_360x360.png
145098BLK,7 Energy Drink Zero Sugar 250ml,http://www.jumbo.com/7-energy-drink-zero-sugar-250ml/145098BLK/,0.59,https://static-images.jumbo.com/product_images/145098BLK-1_360x360.png
153580FLS,"7UP Free Geen Suiker Fles 1,5 Liter","http://www.jumbo.com/7up-free-geen-suiker-fles-1,5-liter/153580FLS/",1.89,https://static-images.jumbo.com/product_images/240720181311_153580FLS-1_360x360.png
48251PAK,"7UP Free of Sugar 4 x 0,33 Liter","http://www.jumbo.com/7up-free-of-sugar-4-x-0,33-liter/48251PAK/",2.27,https://static-images.jumbo.com/product_images/260720181515_48251PAK-1_360x360.png
184269FLS,"7UP Lemon Lemon Original Fles 1,25 Liter","http://www.jumbo.com/7up-lemon-lemon-original-fles-1,25-liter/184269FLS/",1.43,https://static-images.jumbo.com/product_images/184269FLS-1_360x360.png
184310FLS,"7UP Lemon Lemon White Peach Fles 1,25 Liter","http://www.jumbo.com/7up-lemon-lemon-white-peach-fles-1,25-liter/184310FLS/",1.46,https://static-images.jumbo.com/product_images/184310FLS-1_360x360.png
170624FLS,"7UP Mojito Free Geen Suiker Fles 1,5 Liter","http://www.jumbo.com/7up-mojito-free-geen-suiker-fles-1,5-liter/170624FLS/",1.73,https://static-images.jumbo.com/product_images/170624FLS-1_360x360.png
705233PAK,"7UP Regular Blikjes 4-Pack 0,33 Liter","http://www.jumbo.com/7up-regular-blikjes-4-pack-0,33-liter/705233PAK/",2.13,https://static-images.jumbo.com/product_images/705233PAK-1_360x360.png
70221FLS,7UP Regular Fles 1 Liter,http://www.jumbo.com/7up-regular-fles-1-liter/70221FLS/,1.63,https://static-images.jumbo.com/product_images/70221FLS-1_360x360.png
153383FLS,"7UP Regular Fles 1,5 Liter","http://www.jumbo.com/7up-regular-fles-1,5-liter/153383FLS/",1.83,https://static-images.jumbo.com/product_images/153383FLS-1_360x360.png
81340FLS,"7UP Regular Flesje 0,5 Liter","http://www.jumbo.com/7up-regular-flesje-0,5-liter/81340FLS/",0.99,https://static-images.jumbo.com/product_images/81340FLS-1_360x360.png
